ámbitoterritorial,sexo,relaciónconlaactividadeconómic,total
Municipios de 3.001 a 5.000 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),14776
Municipios de 3.001 a 5.000 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),9860
Municipios de 3.001 a 5.000 hab.,Mujeres,Económicamente inactiva,594991
Municipios de 3.001 a 5.000 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Municipios de 2.001 a 3.000 hab.,Ambos sexos,Total,1066167
Municipios de 2.001 a 3.000 hab.,Ambos sexos,Económicamente activa (Total),467035
Municipios de 2.001 a 3.000 hab.,Ambos sexos,Económicamente activa (Ocupados),405055
Municipios de 2.001 a 3.000 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),23707
Municipios de 2.001 a 3.000 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),38274
Municipios de 2.001 a 3.000 hab.,Ambos sexos,Económicamente inactiva,587757
Municipios de 2.001 a 3.000 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),11375
Municipios de 2.001 a 3.000 hab.,Varones,Total,528756
Municipios de 2.001 a 3.000 hab.,Varones,Económicamente activa (Total),372390
Municipios de 2.001 a 3.000 hab.,Varones,Económicamente activa (Ocupados),326312
Municipios de 2.001 a 3.000 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),13954
Municipios de 2.001 a 3.000 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),32124
Municipios de 2.001 a 3.000 hab.,Varones,Económicamente inactiva,144991
Municipios de 2.001 a 3.000 hab.,Varones,Contada aparte (Cumple el servicio militar),11375
Municipios de 2.001 a 3.000 hab.,Mujeres,Total,537411
Municipios de 2.001 a 3.000 hab.,Mujeres,Económicamente activa (Total),94645
Municipios de 2.001 a 3.000 hab.,Mujeres,Económicamente activa (Ocupados),78743
Municipios de 2.001 a 3.000 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),9753
Municipios de 2.001 a 3.000 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),6150
Municipios de 2.001 a 3.000 hab.,Mujeres,Económicamente inactiva,442765
Municipios de 2.001 a 3.000 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Municipios de 1.001 a 2.000 hab.,Ambos sexos,Total,1160684
Municipios de 1.001 a 2.000 hab.,Ambos sexos,Económicamente activa (Total),488538
Municipios de 1.001 a 2.000 hab.,Ambos sexos,Económicamente activa (Ocupados),430858
Municipios de 1.001 a 2.000 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),22816
Municipios de 1.001 a 2.000 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),34863
Municipios de 1.001 a 2.000 hab.,Ambos sexos,Económicamente inactiva,658476
Municipios de 1.001 a 2.000 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),13670
Municipios de 1.001 a 2.000 hab.,Varones,Total,580846
Municipios de 1.001 a 2.000 hab.,Varones,Económicamente activa (Total),398552
Municipios de 1.001 a 2.000 hab.,Varones,Económicamente activa (Ocupados),355050
Municipios de 1.001 a 2.000 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),13537
Municipios de 1.001 a 2.000 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),29965
Municipios de 1.001 a 2.000 hab.,Varones,Económicamente inactiva,168625
Municipios de 1.001 a 2.000 hab.,Varones,Contada aparte (Cumple el servicio militar),13670
Municipios de 1.001 a 2.000 hab.,Mujeres,Total,579837
Municipios de 1.001 a 2.000 hab.,Mujeres,Económicamente activa (Total),89986
Municipios de 1.001 a 2.000 hab.,Mujeres,Económicamente activa (Ocupados),75808
Municipios de 1.001 a 2.000 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),9280
Municipios de 1.001 a 2.000 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),4898
Municipios de 1.001 a 2.000 hab.,Mujeres,Económicamente inactiva,489852
Municipios de 1.001 a 2.000 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Municipios de 501 a 1.000 hab.,Ambos sexos,Total,759621
Municipios de 501 a 1.000 hab.,Ambos sexos,Económicamente activa (Total),310686
Municipios de 501 a 1.000 hab.,Ambos sexos,Económicamente activa (Ocupados),279422
Municipios de 501 a 1.000 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),13734
Municipios de 501 a 1.000 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),17530
Municipios de 501 a 1.000 hab.,Ambos sexos,Económicamente inactiva,440889
Municipios de 501 a 1.000 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),8046
Municipios de 501 a 1.000 hab.,Varones,Total,383136
Municipios de 501 a 1.000 hab.,Varones,Económicamente activa (Total),255512
Municipios de 501 a 1.000 hab.,Varones,Económicamente activa (Ocupados),232431
Municipios de 501 a 1.000 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),8029
Municipios de 501 a 1.000 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),15051
Municipios de 501 a 1.000 hab.,Varones,Económicamente inactiva,119577
Municipios de 501 a 1.000 hab.,Varones,Contada aparte (Cumple el servicio militar),8046
Municipios de 501 a 1.000 hab.,Mujeres,Total,376485
Municipios de 501 a 1.000 hab.,Mujeres,Económicamente activa (Total),55174
Municipios de 501 a 1.000 hab.,Mujeres,Económicamente activa (Ocupados),46991
Municipios de 501 a 1.000 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),5705
Municipios de 501 a 1.000 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),2479
Municipios de 501 a 1.000 hab.,Mujeres,Económicamente inactiva,321311
Municipios de 501 a 1.000 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Municipios de 201 a 500 hab.,Ambos sexos,Total,488832
Municipios de 201 a 500 hab.,Ambos sexos,Económicamente activa (Total),192291
Municipios de 201 a 500 hab.,Ambos sexos,Económicamente activa (Ocupados),176731
Municipios de 201 a 500 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),7751
Municipios de 201 a 500 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),7809
Municipios de 201 a 500 hab.,Ambos sexos,Económicamente inactiva,291783
Municipios de 201 a 500 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),4759
Municipios de 201 a 500 hab.,Varones,Total,249653
Municipios de 201 a 500 hab.,Varones,Económicamente activa (Total),162915
Municipios de 201 a 500 hab.,Varones,Económicamente activa (Ocupados),151859
Municipios de 201 a 500 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),4427
Municipios de 201 a 500 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),6629
Municipios de 201 a 500 hab.,Varones,Económicamente inactiva,81979
Municipios de 201 a 500 hab.,Varones,Contada aparte (Cumple el servicio militar),4759
Municipios de 201 a 500 hab.,Mujeres,Total,239179
Municipios de 201 a 500 hab.,Mujeres,Económicamente activa (Total),29375
Municipios de 201 a 500 hab.,Mujeres,Económicamente activa (Ocupados),24872
Municipios de 201 a 500 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),3324
Municipios de 201 a 500 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),1179
Municipios de 201 a 500 hab.,Mujeres,Económicamente inactiva,209804
Municipios de 201 a 500 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Municipios de 101 a 200 hab.,Ambos sexos,Total,126646
Municipios de 101 a 200 hab.,Ambos sexos,Económicamente activa (Total),48158
Municipios de 101 a 200 hab.,Ambos sexos,Económicamente activa (Ocupados),44527
Municipios de 101 a 200 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),1970
Municipios de 101 a 200 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),1661
Municipios de 101 a 200 hab.,Ambos sexos,Económicamente inactiva,77429
Municipios de 101 a 200 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),1060
Municipios de 101 a 200 hab.,Varones,Total,65888
Municipios de 101 a 200 hab.,Varones,Económicamente activa (Total),41766
Municipios de 101 a 200 hab.,Varones,Económicamente activa (Ocupados),39345
Municipios de 101 a 200 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),1105
Municipios de 101 a 200 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),1316
Municipios de 101 a 200 hab.,Varones,Económicamente inactiva,23062
Municipios de 101 a 200 hab.,Varones,Contada aparte (Cumple el servicio militar),1060
