sexo,sectoreseconómicos,ámbitopoblacional,gruposdeedad,total
Ambos sexos,Servicios,Zona Intermedia,De 75 y más años,1697
Ambos sexos,Servicios,Zona Urbana,Total,3754224
Ambos sexos,Servicios,Zona Urbana,De 16 a 19 años,177611
Ambos sexos,Servicios,Zona Urbana,De 20 a 24 años,438878
Ambos sexos,Servicios,Zona Urbana,De 25 a 29 años,549389
Ambos sexos,Servicios,Zona Urbana,De 30 a 34 años,516219
Ambos sexos,Servicios,Zona Urbana,De 35 a 39 años,434084
Ambos sexos,Servicios,Zona Urbana,De 40 a 44 años,358130
Ambos sexos,Servicios,Zona Urbana,De 45 a 49 años,386477
Ambos sexos,Servicios,Zona Urbana,De 50 a 54 años,351394
Ambos sexos,Servicios,Zona Urbana,De 55 a 59 años,297280
Ambos sexos,Servicios,Zona Urbana,De 60 a 64 años,177042
Ambos sexos,Servicios,Zona Urbana,De 65 a 69 años,47859
Ambos sexos,Servicios,Zona Urbana,De 70 a 74 años,11303
Ambos sexos,Servicios,Zona Urbana,De 75 y más años,8558
Ambos sexos,No bien especificados,Total nacional,Total,179589
Ambos sexos,No bien especificados,Total nacional,De 16 a 19 años,8711
Ambos sexos,No bien especificados,Total nacional,De 20 a 24 años,20774
Ambos sexos,No bien especificados,Total nacional,De 25 a 29 años,21820
Ambos sexos,No bien especificados,Total nacional,De 30 a 34 años,21981
Ambos sexos,No bien especificados,Total nacional,De 35 a 39 años,20554
Ambos sexos,No bien especificados,Total nacional,De 40 a 44 años,18353
Ambos sexos,No bien especificados,Total nacional,De 45 a 49 años,20522
Ambos sexos,No bien especificados,Total nacional,De 50 a 54 años,18634
Ambos sexos,No bien especificados,Total nacional,De 55 a 59 años,15308
Ambos sexos,No bien especificados,Total nacional,De 60 a 64 años,8523
Ambos sexos,No bien especificados,Total nacional,De 65 a 69 años,2318
Ambos sexos,No bien especificados,Total nacional,De 70 a 74 años,1000
Ambos sexos,No bien especificados,Total nacional,De 75 y más años,1090
Ambos sexos,No bien especificados,Zona Rural,Total,27886
Ambos sexos,No bien especificados,Zona Rural,De 16 a 19 años,1699
Ambos sexos,No bien especificados,Zona Rural,De 20 a 24 años,3389
Ambos sexos,No bien especificados,Zona Rural,De 25 a 29 años,3875
Ambos sexos,No bien especificados,Zona Rural,De 30 a 34 años,3056
Ambos sexos,No bien especificados,Zona Rural,De 35 a 39 años,3167
Ambos sexos,No bien especificados,Zona Rural,De 40 a 44 años,2414
Ambos sexos,No bien especificados,Zona Rural,De 45 a 49 años,104
Ambos sexos,No bien especificados,Zona Rural,De 50 a 54 años,2676
Ambos sexos,No bien especificados,Zona Rural,De 55 a 59 años,2179
Ambos sexos,No bien especificados,Zona Rural,De 60 a 64 años,1397
Ambos sexos,No bien especificados,Zona Rural,De 65 a 69 años,452
Ambos sexos,No bien especificados,Zona Rural,De 70 a 74 años,248
Ambos sexos,No bien especificados,Zona Rural,De 75 y más años,231
Ambos sexos,No bien especificados,Zona Intermedia,Total,21444
Ambos sexos,No bien especificados,Zona Intermedia,De 16 a 19 años,1241
Ambos sexos,No bien especificados,Zona Intermedia,De 20 a 24 años,2296
Ambos sexos,No bien especificados,Zona Intermedia,De 25 a 29 años,2658
Ambos sexos,No bien especificados,Zona Intermedia,De 30 a 34 años,2761
Ambos sexos,No bien especificados,Zona Intermedia,De 35 a 39 años,2472
Ambos sexos,No bien especificados,Zona Intermedia,De 40 a 44 años,2200
Ambos sexos,No bien especificados,Zona Intermedia,De 45 a 49 años,2351
Ambos sexos,No bien especificados,Zona Intermedia,De 50 a 54 años,2159
Ambos sexos,No bien especificados,Zona Intermedia,De 55 a 59 años,1828
Ambos sexos,No bien especificados,Zona Intermedia,De 60 a 64 años,999
Ambos sexos,No bien especificados,Zona Intermedia,De 65 a 69 años,238
Ambos sexos,No bien especificados,Zona Intermedia,De 70 a 74 años,102
Ambos sexos,No bien especificados,Zona Intermedia,De 75 y más años,139
Ambos sexos,No bien especificados,Zona Urbana,Total,130258
Ambos sexos,No bien especificados,Zona Urbana,De 16 a 19 años,6770
Ambos sexos,No bien especificados,Zona Urbana,De 20 a 24 años,15089
Ambos sexos,No bien especificados,Zona Urbana,De 25 a 29 años,15287
Ambos sexos,No bien especificados,Zona Urbana,De 30 a 34 años,16164
Ambos sexos,No bien especificados,Zona Urbana,De 35 a 39 años,14916
Ambos sexos,No bien especificados,Zona Urbana,De 40 a 44 años,13739
Ambos sexos,No bien especificados,Zona Urbana,De 45 a 49 años,15066
Ambos sexos,No bien especificados,Zona Urbana,De 50 a 54 años,13799
Ambos sexos,No bien especificados,Zona Urbana,De 55 a 59 años,11300
Ambos sexos,No bien especificados,Zona Urbana,De 60 a 64 años,6128
Ambos sexos,No bien especificados,Zona Urbana,De 65 a 69 años,1628
Ambos sexos,No bien especificados,Zona Urbana,De 70 a 74 años,650
Ambos sexos,No bien especificados,Zona Urbana,De 75 y más años,720
Varones,Total,Total nacional,Total,8214538
Varones,Total,Total nacional,De 16 a 19 años,381454
Varones,Total,Total nacional,De 20 a 24 años,733249
Varones,Total,Total nacional,De 25 a 29 años,1022259
Varones,Total,Total nacional,De 30 a 34 años,1074652
Varones,Total,Total nacional,De 35 a 39 años,997234
Varones,Total,Total nacional,De 40 a 44 años,887249
Varones,Total,Total nacional,De 45 a 49 años,995909
Varones,Total,Total nacional,De 50 a 54 años,899559
Varones,Total,Total nacional,De 55 a 59 años,727595
Varones,Total,Total nacional,De 60 a 64 años,387940
Varones,Total,Total nacional,De 65 a 69 años,71861
Varones,Total,Total nacional,De 70 a 74 años,20528
Varones,Total,Total nacional,De 75 y más años,15049
Varones,Total,Zona Rural,Total,1806475
Varones,Total,Zona Rural,De 16 a 19 años,116496
Varones,Total,Zona Rural,De 20 a 24 años,179674
Varones,Total,Zona Rural,De 25 a 29 años,203720
Varones,Total,Zona Rural,De 30 a 34 años,190888
Varones,Total,Zona Rural,De 35 a 39 años,180511
Varones,Total,Zona Rural,De 40 a 44 años,171208
Varones,Total,Zona Rural,De 45 a 49 años,220553
Varones,Total,Zona Rural,De 50 a 54 años,215413
Varones,Total,Zona Rural,De 55 a 59 años,183033
Varones,Total,Zona Rural,De 60 a 64 años,110729
Varones,Total,Zona Rural,De 65 a 69 años,20081
Varones,Total,Zona Rural,De 70 a 74 años,7855
Varones,Total,Zona Rural,De 75 y más años,5315
Varones,Total,Zona Intermedia,Total,1402213
Varones,Total,Zona Intermedia,De 16 a 19 años,82634
Varones,Total,Zona Intermedia,De 20 a 24 años,137450
Varones,Total,Zona Intermedia,De 25 a 29 años,179168
