ramadeactividadeconómica,ámbitopoblacional,gruposdeedad,total
"Restaurantes, cafés y hostelería",Zona Rural,De 30 a 34 años,8536
"Restaurantes, cafés y hostelería",Zona Rural,De 35 a 39 años,6765
"Restaurantes, cafés y hostelería",Zona Rural,De 40 a 44 años,6088
"Restaurantes, cafés y hostelería",Zona Rural,De 45 a 49 años,6056
"Restaurantes, cafés y hostelería",Zona Rural,De 50 a 54 años,5173
"Restaurantes, cafés y hostelería",Zona Rural,De 55 a 59 años,3889
"Restaurantes, cafés y hostelería",Zona Rural,De 60 a 64 años,2303
"Restaurantes, cafés y hostelería",Zona Rural,De 65 a 69 años,540
"Restaurantes, cafés y hostelería",Zona Rural,De 70 a 74 años,152
"Restaurantes, cafés y hostelería",Zona Rural,De 75 y más años,166
"Restaurantes, cafés y hostelería",Zona Intermedia,Total,77234
"Restaurantes, cafés y hostelería",Zona Intermedia,De 16 a 19 años,9842
"Restaurantes, cafés y hostelería",Zona Intermedia,De 20 a 24 años,12400
"Restaurantes, cafés y hostelería",Zona Intermedia,De 25 a 29 años,11473
"Restaurantes, cafés y hostelería",Zona Intermedia,De 30 a 34 años,9538
"Restaurantes, cafés y hostelería",Zona Intermedia,De 35 a 39 años,7547
"Restaurantes, cafés y hostelería",Zona Intermedia,De 40 a 44 años,6722
"Restaurantes, cafés y hostelería",Zona Intermedia,De 45 a 49 años,6848
"Restaurantes, cafés y hostelería",Zona Intermedia,De 50 a 54 años,5498
"Restaurantes, cafés y hostelería",Zona Intermedia,De 55 a 59 años,4370
"Restaurantes, cafés y hostelería",Zona Intermedia,De 60 a 64 años,2274
"Restaurantes, cafés y hostelería",Zona Intermedia,De 65 a 69 años,419
"Restaurantes, cafés y hostelería",Zona Intermedia,De 70 a 74 años,176
"Restaurantes, cafés y hostelería",Zona Intermedia,De 75 y más años,125
"Restaurantes, cafés y hostelería",Zona Urbana,Total,257816
"Restaurantes, cafés y hostelería",Zona Urbana,De 16 a 19 años,25309
"Restaurantes, cafés y hostelería",Zona Urbana,De 20 a 24 años,34074
"Restaurantes, cafés y hostelería",Zona Urbana,De 25 a 29 años,35103
"Restaurantes, cafés y hostelería",Zona Urbana,De 30 a 34 años,31964
"Restaurantes, cafés y hostelería",Zona Urbana,De 35 a 39 años,27679
"Restaurantes, cafés y hostelería",Zona Urbana,De 40 a 44 años,24609
"Restaurantes, cafés y hostelería",Zona Urbana,De 45 a 49 años,26265
"Restaurantes, cafés y hostelería",Zona Urbana,De 50 a 54 años,22303
"Restaurantes, cafés y hostelería",Zona Urbana,De 55 a 59 años,17533
"Restaurantes, cafés y hostelería",Zona Urbana,De 60 a 64 años,9826
"Restaurantes, cafés y hostelería",Zona Urbana,De 65 a 69 años,1921
"Restaurantes, cafés y hostelería",Zona Urbana,De 70 a 74 años,681
"Restaurantes, cafés y hostelería",Zona Urbana,De 75 y más años,548
Reparaciones,Total nacional (Ambos sexos),Total,258299
Reparaciones,Total nacional (Ambos sexos),De 16 a 19 años,27347
Reparaciones,Total nacional (Ambos sexos),De 20 a 24 años,44350
Reparaciones,Total nacional (Ambos sexos),De 25 a 29 años,44840
Reparaciones,Total nacional (Ambos sexos),De 30 a 34 años,38121
Reparaciones,Total nacional (Ambos sexos),De 35 a 39 años,29501
Reparaciones,Total nacional (Ambos sexos),De 40 a 44 años,20989
Reparaciones,Total nacional (Ambos sexos),De 45 a 49 años,19806
Reparaciones,Total nacional (Ambos sexos),De 50 a 54 años,15158
Reparaciones,Total nacional (Ambos sexos),De 55 a 59 años,11267
Reparaciones,Total nacional (Ambos sexos),De 60 a 64 años,5382
Reparaciones,Total nacional (Ambos sexos),De 65 a 69 años,856
Reparaciones,Total nacional (Ambos sexos),De 70 a 74 años,374
Reparaciones,Total nacional (Ambos sexos),De 75 y más años,309
Reparaciones,Total nacional (Varones),Total,248328
Reparaciones,Total nacional (Varones),De 16 a 19 años,26178
Reparaciones,Total nacional (Varones),De 20 a 24 años,41013
Reparaciones,Total nacional (Varones),De 25 a 29 años,42922
Reparaciones,Total nacional (Varones),De 30 a 34 años,37096
Reparaciones,Total nacional (Varones),De 35 a 39 años,28878
Reparaciones,Total nacional (Varones),De 40 a 44 años,20633
Reparaciones,Total nacional (Varones),De 45 a 49 años,19338
Reparaciones,Total nacional (Varones),De 50 a 54 años,14721
Reparaciones,Total nacional (Varones),De 55 a 59 años,10982
Reparaciones,Total nacional (Varones),De 60 a 64 años,5196
Reparaciones,Total nacional (Varones),De 65 a 69 años,815
Reparaciones,Total nacional (Varones),De 70 a 74 años,358
Reparaciones,Total nacional (Varones),De 75 y más años,298
Reparaciones,Total nacional (Mujeres),Total,9970
Reparaciones,Total nacional (Mujeres),De 16 a 19 años,1169
Reparaciones,Total nacional (Mujeres),De 20 a 24 años,3338
Reparaciones,Total nacional (Mujeres),De 25 a 29 años,1917
Reparaciones,Total nacional (Mujeres),De 30 a 34 años,1024
Reparaciones,Total nacional (Mujeres),De 35 a 39 años,623
Reparaciones,Total nacional (Mujeres),De 40 a 44 años,456
Reparaciones,Total nacional (Mujeres),De 45 a 49 años,468
Reparaciones,Total nacional (Mujeres),De 50 a 54 años,437
Reparaciones,Total nacional (Mujeres),De 55 a 59 años,285
Reparaciones,Total nacional (Mujeres),De 60 a 64 años,186
Reparaciones,Total nacional (Mujeres),De 65 a 69 años,41
Reparaciones,Total nacional (Mujeres),De 70 a 74 años,15
Reparaciones,Total nacional (Mujeres),De 75 y más años,11
Reparaciones,Zona Rural,Total,38838
Reparaciones,Zona Rural,De 16 a 19 años,6646
Reparaciones,Zona Rural,De 20 a 24 años,8934
Reparaciones,Zona Rural,De 25 a 29 años,7287
Reparaciones,Zona Rural,De 30 a 34 años,4999
Reparaciones,Zona Rural,De 35 a 39 años,3650
Reparaciones,Zona Rural,De 40 a 44 años,2121
Reparaciones,Zona Rural,De 45 a 49 años,1902
Reparaciones,Zona Rural,De 50 a 54 años,1441
Reparaciones,Zona Rural,De 55 a 59 años,1017
Reparaciones,Zona Rural,De 60 a 64 años,600
Reparaciones,Zona Rural,De 65 a 69 años,97
Reparaciones,Zona Rural,De 70 a 74 años,73
Reparaciones,Zona Rural,De 75 y más años,72
Reparaciones,Zona Intermedia,Total,41371
Reparaciones,Zona Intermedia,De 16 a 19 años,5678
Reparaciones,Zona Intermedia,De 20 a 24 años,7794
Reparaciones,Zona Intermedia,De 25 a 29 años,7326
Reparaciones,Zona Intermedia,De 30 a 34 años,5966
Reparaciones,Zona Intermedia,De 35 a 39 años,4470
Reparaciones,Zona Intermedia,De 40 a 44 años,3038
Reparaciones,Zona Intermedia,De 45 a 49 años,2663
Reparaciones,Zona Intermedia,De 50 a 54 años,1906
Reparaciones,Zona Intermedia,De 55 a 59 años,1507
Reparaciones,Zona Intermedia,De 60 a 64 años,736
Reparaciones,Zona Intermedia,De 65 a 69 años,155
Reparaciones,Zona Intermedia,De 70 a 74 años,53
Reparaciones,Zona Intermedia,De 75 y más años,80
Reparaciones,Zona Urbana,Total,178090
Reparaciones,Zona Urbana,De 16 a 19 años,15023
Reparaciones,Zona Urbana,De 20 a 24 años,27622
Reparaciones,Zona Urbana,De 25 a 29 años,30226
Reparaciones,Zona Urbana,De 30 a 34 años,27156
Reparaciones,Zona Urbana,De 35 a 39 años,21381
Reparaciones,Zona Urbana,De 40 a 44 años,15829
Reparaciones,Zona Urbana,De 45 a 49 años,15242
Reparaciones,Zona Urbana,De 50 a 54 años,11811
Reparaciones,Zona Urbana,De 55 a 59 años,8743
Reparaciones,Zona Urbana,De 60 a 64 años,4046
Reparaciones,Zona Urbana,De 65 a 69 años,604
Reparaciones,Zona Urbana,De 70 a 74 años,248
Reparaciones,Zona Urbana,De 75 y más años,158
Transporte y actividades anexas,Total nacional (Ambos sexos),Total,554555
Transporte y actividades anexas,Total nacional (Ambos sexos),De 16 a 19 años,9707
Transporte y actividades anexas,Total nacional (Ambos sexos),De 20 a 24 años,38358
Transporte y actividades anexas,Total nacional (Ambos sexos),De 25 a 29 años,61103
Transporte y actividades anexas,Total nacional (Ambos sexos),De 30 a 34 años,69582
Transporte y actividades anexas,Total nacional (Ambos sexos),De 35 a 39 años,71861
Transporte y actividades anexas,Total nacional (Ambos sexos),De 40 a 44 años,69583
Transporte y actividades anexas,Total nacional (Ambos sexos),De 45 a 49 años,80131
Transporte y actividades anexas,Total nacional (Ambos sexos),De 50 a 54 años,69333
Transporte y actividades anexas,Total nacional (Ambos sexos),De 55 a 59 años,56679
Transporte y actividades anexas,Total nacional (Ambos sexos),De 60 a 64 años,24476
Transporte y actividades anexas,Total nacional (Ambos sexos),De 65 a 69 años,2546
Transporte y actividades anexas,Total nacional (Ambos sexos),De 70 a 74 años,552
Transporte y actividades anexas,Total nacional (Ambos sexos),De 75 y más años,642
Transporte y actividades anexas,Total nacional (Varones),Total,517229
Transporte y actividades anexas,Total nacional (Varones),De 16 a 19 años,7502
Transporte y actividades anexas,Total nacional (Varones),De 20 a 24 años,29817
Transporte y actividades anexas,Total nacional (Varones),De 25 a 29 años,53895
Transporte y actividades anexas,Total nacional (Varones),De 30 a 34 años,64128
Transporte y actividades anexas,Total nacional (Varones),De 35 a 39 años,68499
Transporte y actividades anexas,Total nacional (Varones),De 40 a 44 años,67492
Transporte y actividades anexas,Total nacional (Varones),De 45 a 49 años,77705
Transporte y actividades anexas,Total nacional (Varones),De 50 a 54 años,66907
Transporte y actividades anexas,Total nacional (Varones),De 55 a 59 años,54721
Transporte y actividades anexas,Total nacional (Varones),De 60 a 64 años,23270
Transporte y actividades anexas,Total nacional (Varones),De 65 a 69 años,2297
Transporte y actividades anexas,Total nacional (Varones),De 70 a 74 años,472
Transporte y actividades anexas,Total nacional (Varones),De 75 y más años,524
Transporte y actividades anexas,Total nacional (Mujeres),Total,37326
Transporte y actividades anexas,Total nacional (Mujeres),De 16 a 19 años,2205
Transporte y actividades anexas,Total nacional (Mujeres),De 20 a 24 años,8541
Transporte y actividades anexas,Total nacional (Mujeres),De 25 a 29 años,7209
Transporte y actividades anexas,Total nacional (Mujeres),De 30 a 34 años,5454
Transporte y actividades anexas,Total nacional (Mujeres),De 35 a 39 años,3362
Transporte y actividades anexas,Total nacional (Mujeres),De 40 a 44 años,2091
Transporte y actividades anexas,Total nacional (Mujeres),De 45 a 49 años,2426
Transporte y actividades anexas,Total nacional (Mujeres),De 50 a 54 años,2426
Transporte y actividades anexas,Total nacional (Mujeres),De 55 a 59 años,1958
Transporte y actividades anexas,Total nacional (Mujeres),De 60 a 64 años,1206
Transporte y actividades anexas,Total nacional (Mujeres),De 65 a 69 años,250
Transporte y actividades anexas,Total nacional (Mujeres),De 70 a 74 años,80
Transporte y actividades anexas,Total nacional (Mujeres),De 75 y más años,118
Transporte y actividades anexas,Zona Rural,Total,77442
Transporte y actividades anexas,Zona Rural,De 16 a 19 años,1512
Transporte y actividades anexas,Zona Rural,De 20 a 24 años,6204
Transporte y actividades anexas,Zona Rural,De 25 a 29 años,10456
Transporte y actividades anexas,Zona Rural,De 30 a 34 años,10978
Transporte y actividades anexas,Zona Rural,De 35 a 39 años,10441
Transporte y actividades anexas,Zona Rural,De 40 a 44 años,9641
Transporte y actividades anexas,Zona Rural,De 45 a 49 años,11090
Transporte y actividades anexas,Zona Rural,De 50 a 54 años,8814
Transporte y actividades anexas,Zona Rural,De 55 a 59 años,6520
Transporte y actividades anexas,Zona Rural,De 60 a 64 años,2365
Transporte y actividades anexas,Zona Rural,De 65 a 69 años,298
Transporte y actividades anexas,Zona Rural,De 70 a 74 años,64
Transporte y actividades anexas,Zona Rural,De 75 y más años,60
Transporte y actividades anexas,Zona Intermedia,Total,76062
Transporte y actividades anexas,Zona Intermedia,De 16 a 19 años,1388
Transporte y actividades anexas,Zona Intermedia,De 20 a 24 años,4999
Transporte y actividades anexas,Zona Intermedia,De 25 a 29 años,8939
Transporte y actividades anexas,Zona Intermedia,De 30 a 34 años,10128
Transporte y actividades anexas,Zona Intermedia,De 35 a 39 años,10353
Transporte y actividades anexas,Zona Intermedia,De 40 a 44 años,10004
Transporte y actividades anexas,Zona Intermedia,De 45 a 49 años,11523
Transporte y actividades anexas,Zona Intermedia,De 50 a 54 años,8915
Transporte y actividades anexas,Zona Intermedia,De 55 a 59 años,6561
Transporte y actividades anexas,Zona Intermedia,De 60 a 64 años,2741
Transporte y actividades anexas,Zona Intermedia,De 65 a 69 años,308
Transporte y actividades anexas,Zona Intermedia,De 70 a 74 años,98
Transporte y actividades anexas,Zona Intermedia,De 75 y más años,105
Transporte y actividades anexas,Zona Urbana,Total,401050
Transporte y actividades anexas,Zona Urbana,De 16 a 19 años,6807
Transporte y actividades anexas,Zona Urbana,De 20 a 24 años,27154
Transporte y actividades anexas,Zona Urbana,De 25 a 29 años,41709
Transporte y actividades anexas,Zona Urbana,De 30 a 34 años,48476
Transporte y actividades anexas,Zona Urbana,De 35 a 39 años,51068
Transporte y actividades anexas,Zona Urbana,De 40 a 44 años,49937
Transporte y actividades anexas,Zona Urbana,De 45 a 49 años,57519
Transporte y actividades anexas,Zona Urbana,De 50 a 54 años,51604
Transporte y actividades anexas,Zona Urbana,De 55 a 59 años,44599
Transporte y actividades anexas,Zona Urbana,De 60 a 64 años,19370
Transporte y actividades anexas,Zona Urbana,De 65 a 69 años,1940
Transporte y actividades anexas,Zona Urbana,De 70 a 74 años,389
Transporte y actividades anexas,Zona Urbana,De 75 y más años,477
Comunicaciones,Total nacional (Ambos sexos),Total,121168
Comunicaciones,Total nacional (Ambos sexos),De 16 a 19 años,1318
Comunicaciones,Total nacional (Ambos sexos),De 20 a 24 años,9476
Comunicaciones,Total nacional (Ambos sexos),De 25 a 29 años,19681
Comunicaciones,Total nacional (Ambos sexos),De 30 a 34 años,26026
Comunicaciones,Total nacional (Ambos sexos),De 35 a 39 años,19927
Comunicaciones,Total nacional (Ambos sexos),De 40 a 44 años,10650
Comunicaciones,Total nacional (Ambos sexos),De 45 a 49 años,10442
Comunicaciones,Total nacional (Ambos sexos),De 50 a 54 años,9109
Comunicaciones,Total nacional (Ambos sexos),De 55 a 59 años,8532
Comunicaciones,Total nacional (Ambos sexos),De 60 a 64 años,4995
Comunicaciones,Total nacional (Ambos sexos),De 65 a 69 años,841
Comunicaciones,Total nacional (Ambos sexos),De 70 a 74 años,67
Comunicaciones,Total nacional (Ambos sexos),De 75 y más años,104
Comunicaciones,Total nacional (Varones),Total,94574
Comunicaciones,Total nacional (Varones),De 16 a 19 años,941
Comunicaciones,Total nacional (Varones),De 20 a 24 años,7111
Comunicaciones,Total nacional (Varones),De 25 a 29 años,15043
Comunicaciones,Total nacional (Varones),De 30 a 34 años,19997
Comunicaciones,Total nacional (Varones),De 35 a 39 años,16695
Comunicaciones,Total nacional (Varones),De 40 a 44 años,8562
Comunicaciones,Total nacional (Varones),De 45 a 49 años,8523
Comunicaciones,Total nacional (Varones),De 50 a 54 años,7212
Comunicaciones,Total nacional (Varones),De 55 a 59 años,6532
Comunicaciones,Total nacional (Varones),De 60 a 64 años,4139
Comunicaciones,Total nacional (Varones),De 65 a 69 años,737
Comunicaciones,Total nacional (Varones),De 70 a 74 años,37
Comunicaciones,Total nacional (Varones),De 75 y más años,46
Comunicaciones,Total nacional (Mujeres),Total,26594
Comunicaciones,Total nacional (Mujeres),De 16 a 19 años,376
