sheet_raw,series_code,row_description,quarter_label,year,quarter,value,description,date_start,date_end,frequency,units,series_type,sheet,series_label
cuadro_01,1994GG0001,Total economía,1982:II,1982,2,13419.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1982:III,1982,3,13493.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1982:IV,1982,4,13572.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1983:I,1983,1,13550.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1983:II,1983,2,13561.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1983:III,1983,3,13648.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1983:IV,1983,4,13703.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1984:I,1984,1,13679.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1984:II,1984,2,13623.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1984:III,1984,3,13691.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1984:IV,1984,4,13719.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1985:I,1985,1,13739.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1985:II,1985,2,13705.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1985:III,1985,3,13800.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1985:IV,1985,4,13853.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1986:I,1986,1,13916.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1986:II,1986,2,13983.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1986:III,1986,3,14042.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1986:IV,1986,4,14145.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1987:I,1987,1,14232.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1987:II,1987,2,14266.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1987:III,1987,3,14440.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1987:IV,1987,4,14498.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1988:I,1988,1,14553.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1988:II,1988,2,14608.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1988:III,1988,3,14701.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1988:IV,1988,4,14621.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1989:I,1989,1,14702.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
