series_code,series_label,description,sheet,series_type,units,year,annual_mean
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1991,1519.25
1994GG0004,Encuesta de Población Activa. Activos. Construcción,Encuesta de Población Activa. Activos. Construcción,cuadro_01,Posición,Miles,1992,1537.75
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1964,3642.75
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1965,3914.75
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1966,3923.5
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1967,4007.0
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1968,4119.5
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1969,4210.25
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1970,4397.25
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1971,4606.0
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1972,4851.0
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1973,5105.5
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1974,5243.0
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1975,5261.75
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1976,5266.0
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1977,5359.5
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1978,5361.25
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1979,5464.5
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1980,5503.5
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1981,5554.0
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1982,5719.5
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1983,5774.75
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1984,5771.75
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1985,5902.75
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1986,6265.75
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1987,6570.5
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1988,6864.75
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1989,7245.5
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1990,7551.5
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1991,7815.25
1994GG0005,Encuesta de Población Activa. Activos. Servicios,Encuesta de Población Activa. Activos. Servicios,cuadro_01,Posición,Miles,1992,7973.0
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1964,76.0
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1965,48.5
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1966,41.5
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1967,44.25
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1968,48.5
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1969,48.5
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1970,54.75
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1971,83.0
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1972,103.5
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1973,133.5
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1974,152.75
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1975,181.0
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1976,247.75
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1977,330.5
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1978,458.25
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1979,578.25
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1980,768.75
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1981,977.25
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1982,1158.5
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1983,1297.25
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1984,1474.5
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1985,1593.25
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1986,1603.0
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1987,1580.75
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1988,1490.75
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1989,1242.0
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1990,1083.5
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1991,982.0
1994GG0006,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,Encuesta de Población Activa. Activos. Sin clasificar por rama de actividad,cuadro_01,Posición,Miles,1992,1020.25
1994GG0007,Encuesta de Población Activa. Parados. Total economía,Encuesta de Población Activa. Parados. Total economía,cuadro_02,Posición,Miles,1964,244.75
1994GG0007,Encuesta de Población Activa. Parados. Total economía,Encuesta de Población Activa. Parados. Total economía,cuadro_02,Posición,Miles,1965,193.75
1994GG0007,Encuesta de Población Activa. Parados. Total economía,Encuesta de Población Activa. Parados. Total economía,cuadro_02,Posición,Miles,1966,141.75
1994GG0007,Encuesta de Población Activa. Parados. Total economía,Encuesta de Población Activa. Parados. Total economía,cuadro_02,Posición,Miles,1967,148.75
1994GG0007,Encuesta de Población Activa. Parados. Total economía,Encuesta de Población Activa. Parados. Total economía,cuadro_02,Posición,Miles,1968,149.0
1994GG0007,Encuesta de Población Activa. Parados. Total economía,Encuesta de Población Activa. Parados. Total economía,cuadro_02,Posición,Miles,1969,128.75
1994GG0007,Encuesta de Población Activa. Parados. Total economía,Encuesta de Población Activa. Parados. Total economía,cuadro_02,Posición,Miles,1970,139.75
1994GG0007,Encuesta de Población Activa. Parados. Total economía,Encuesta de Población Activa. Parados. Total economía,cuadro_02,Posición,Miles,1971,188.75
1994GG0007,Encuesta de Población Activa. Parados. Total economía,Encuesta de Población Activa. Parados. Total economía,cuadro_02,Posición,Miles,1972,259.25
1994GG0007,Encuesta de Población Activa. Parados. Total economía,Encuesta de Población Activa. Parados. Total economía,cuadro_02,Posición,Miles,1973,332.75
